Faster Pussy cat,Silent Night
Something About Vampires And Sluts,Hyosung
Derek Martin,Moving Hands Of Time
The Inmates,Fire down below
Fat & Frantic,Darling Doris
T Rextasy,White Christmas
Florian Silbereisen,Das Robbenlied
Ralph Stanley,My Little Georgia Rose
R. Dean Taylor,Indiana Wants Me
Jive Bunny,Hot Summer Salsa
Nebula,Beyond
DJ Babu,Lauralee
Joshua Redman,Interlude 6 (Album Version)
Christophe Goze,Peurto Vella
Thalia,No Me Ensenaste
All Natural Lemon & Lime Flavors,Saturn Jig
The Jazz Butcher,Monkeyface
Predators,Nasty Tech
Zafra Negra,Busco Otro Nido
Maroon 5,Not Falling Apart
Latinos Band,La Butirarra De Pacho
Cilla Black,Step Inside Love
Alejandro Santiago,Para Una Despedida
Last Rough Cause,Some Mate
Paul Haslinger,Treacherous Terrain
Ill Repute,In Society/ Who Cares
Yip-Yip,Familyman Conundrum
Slapp Happy,King Of Straw
Youthmovies,Surtsey
Vex'd,Shinju Bridge
Watkin Tudor Jones,Sun on my Face
Die Sekte,Ich Mach Das
Tom & Susan Wasinger,Picasso's Guitars (World)
Newcleus,Cyborg Dance
Paul Weller,Paper Smile
Donna The Buffalo,Hit The Groove
Colony 5,It Was Only A Dream
Alex Bugnon,Puzzle Pieces
Kammerflimmer Kollektief,Blind
Sonny Terry,Baby Let's Have Some Fun (Previously Unreleased Take)
Wham!,Wake Me Up Before You Go-Go
Whole Wheat Bread,Ode 2 Father
Milena Vucic,Lagala Sam
Aberdeen,Aberdeen
Feeder,High 5
James Horner,Elena and Esperanza
Mind Da Gap,Forças De Combate
DJ Godfather,Who U Wit?
Peggy Lee,Goin' On A Hayride (Bonus Track)
Inderjit Nikku,Munde Chumm-Chum Sudte Rumaal
Reflex,Pobeg
Alban Berg Quartett,String Quartet No. 3 in D major Op. 18 No. 3: III.     Allegro
Heiner Goebbels,3. Aout 1890
Tim Barry,Cardinal In Red Bed
Ellen Allien,Come
Denison Witmer,Remember the Things You Have Seen
The Crack,Wait Til The Day Arrives (Demos And Rarities)
Michael Bublé,Haven't Met You Yet (Album Version)
Fleshies,You're All Doomed
Salvatore Licitra,Nessun Dorma! from Turandot
Chambers Brothers,Just A Closer Walk With Thee
Hazard,KOPALNICO IMA
Pretenders,Tequila (Demo)
Unashamed,Gain
A-Team,B-Boy The Real McCoy
Memphis Minnie,Finger Print Blues
D-Shot,Punk Ass N*gga
Strojovna 07,TEXEMPO
Chairmen Of The Board,Let Me Down Easy
The Low Frequency In Stereo,Bahamas
Mack and Jamie,Senseless Peace
Sesto Sento,Cookie stealer
Ara Ketu,O Tal (Céu De Calcutá)
Greg Laswell,Sweet Dream
Rebirth Brass Band,Tubaluba
Mademoiselle K.,Crève (Live Paris 2009)
Jo-El Sonnier,High Point Two Step
Guns N' Roses,Estranged
Le Orme,Lacrime Di Sale
Luna,The Slow Song
Bruce Dickinson,Tears Of The Dragon
Steve Miller Band,Give It Up
Pam Thum,Turn! Turn! Turn!
El Koala,El Gallo De Moron
Joniveli,Täältä syy
Lost & Found,Home Sweet Home
Peter And Gordon,Memphis
Para,Okna dvere
The Elgins,Is That Too Much
Aterciopelados,Interludio
Die Apokalyptischen Reiter,Adrenalin
Bee Gees,Nothing Could Be Good (Album Version)
Let's Go Outside,Amici Invisibili
Evil Conduct,Dance Bootboy Dance (Demo 1986)
F.I.R.,Intro
Soul Oddity,Freq Shift
Gustavo Santaolalla,Two Worlds_ One Heart
Skindred,Babylon (Album Version)
Ray Wylie Hubbard,The Way Of The Fallen Is Hard
Aaron Hall,Don't Be Afraid
Jackie Greene,Sweet Somewhere Bound
Tyrone Taylor,Day dreaming
Fat Jon,Disgust
Slaï,Juste Une Fois
The Egyptian Lover,Egypt_ Egypt
Josef K,Heart Of Song (Live in London 8.8.1981)
Antiloop,At The Rebels Room
Sonny Terry_ Brownie McGhee,C.C.Rider - Where Did She Go
NEEDTOBREATHE,Streets Of Gold (Album Version)
The Jelly Jam,War is...
Raul Malo,Crying for You
Los Papines,Baila Mi Yambú
Kristian Meurman,Vanha sielu
Octopus Project,Porno Disaster
Ellen Allien,Trash Scapes (Kid 606 Remix)
Coffinberry,Packrat/Survivalist
The Lapse,From Destructive Urges Reason Emerges
Hess Is More,V_V_V.
Cow Cow Davenport,Chimin' The Blues
Dot Allison,Substance
Loko,Freestyle Virtuel
Melanie Thornton,Heartbeat
Kid Koala,A Night at The Nufonia
Bass Unlimited,Low Ridin'
Ragheb Alama,Ana Habaytak
Elmer Bernstein,The 7 Word
Bloody Dead And Sexy,(The Blood Or Honey Sea)
Her Name Is Calla,Wren
George Smallwood,The Best Love Of My Life
Gregg Allman,Are You Lonely For Me Baby
Vanilla Muffins,The Pride Of The North I
Redman ft. Kfam & Keith Murray,Rollin'
Piotta,Comunque vada... (feat. Turi) [album]
Silver Sun,Lunar Phase
Karrin Allyson,Yardbird Suite
Gordon MacRae,Green Grow the Lilacs
Seal,Walk On By [Babyface Remix]
Familjen,Bethnahrin
Leroy Hutson,Feel The Spirit In '76 (Part 1) - Original
Unsung Zeros,Leave Me
Tim Wilson,Jack Ass: The Movie
WINTERS BANE,Reflections Within
The Zico Chain,Social Suicide
Botz And Flydrums,Celtic Rain
Turbo Tabla,Sami Aryan
Young Parisians,U Write The Rules
The Elders,Ever Be a Nation
Roy Buchanan,Down By The River
Choeurs Et Orchestre Radio-Lyrique De Paris_ Andre Pernet_ Lucien Lovano_ Solange Michel,Don Quichotte: Quand la femme a vingt ans
The Grip Weeds,Sight Unseen
Public Domain,Love U More
Cypher,Handfull of Darkness
Die Apokalyptischen Reiter,Das Paradies
Zakir Hussain,Dark Melody
Eddie Cochran & Gene Vincent,Introduction
Lights,Pretend [Reprise] (Album Version)
Videodrone,L.S.D. (Lucifer's Stained Dress) (Album Version)
Sylvan,A Sad Symphony (Album Version)
Gene Watson,Mama Sold Roses
Valérie Leulliot,L'eau Du Gange
Stars of Track and Field,Movies Of Antarctica
András Schiff,Haydn : Piano Sonata No.59 in E flat major Hob.XVI_ 49 : II Adagio e cantabile
Laura Nyro,Sweet Blindness
Beny Moré,Yiriyiribon
Break,Mason
Makaton,Weakness
Ramon Ayala,Corazon Herido
New Riders of The Purple Sage,Portland Woman
Red Nichols,Tears From My Inkwell
T'Pau,Soul Destruction
Hot,I Hide
Adolph Hofner,Barbara Polka
Skunk Anansie,Little Baby Swastikkka
Sandra,What Is It About Me
Ym-Stammen,Gripe
Common Enemy,We're Under Attack
Alphaville,Flags/Like Thunder (Flag Remix)
The Carter Family,John Hardy Was A Desperate Little Man
Gama Bomb,Thrashaholic
John Mellencamp,I Don't Know Why I Love You
THERION,Lemuria
Soweto String Quartet;Reuben Khemese;Sandile Khemese;Thami Khemese;Makhosini Mnguni,Yakhal 'Inkomo
Sam & Dave,Knock It Out of The Park (non LP Single)
Patrice Rushen,Wishful Thinking (LP Version)
Illapu,Cantor De La Calle
Kollektiver Brechreiz,Natter
Trafik,Smoke
Cândido,Como Se Eu Nunca Existisse
Mark Stewart,Dream Kitchen
War Tapes,Rightfullly Mine
Soundscape,Golem
Charlie Brown Jr.,Senhor Do Tempo
Sy Smith,Conflict
Billy J Kramer & The Dakotas,Magic Carpet
Azure Ray,For The Sake Of The Song
The Hullaballoos,Every Night (LP Version)
Incubus,Rogues
Meredith Monk and Vocal Ensemble,Plague (Meredith Monk)
Nacho Vegas,En La Sed Mortal
Boz Scaggs,Then She Walked Away
Gary Allan,Living Hard
Nate Dogg,Intro To G-Funk
Tabu Ley Rochereau,Tu As Dit Que
Guardianes Del Amor,No Somos Nada
Floyd Tillman,I Love You So Much It Hurts
Tommy Torres,Lamento
Dj Marbrax,Get Serious
Vittorio De Scalzi,Quelli Come No!
Electric Eel Shock,Out Of Control
Micropoint,Dirthy vynil 2000
Parchman Farm,Give It To Me
Riger,Ruhnen
Bigbang,Clouds Rolling By (acoustic live)
Magic Slim,Before You Accuse Me
All Time High,Already Gone
Florian Silbereisen,Zillertaler Hochzeitsmarsch
Heatbeat,Paradise Garage
M.A.F.U. Crew,Defense
Phantom Ghost,Miami
La Mosca Tse-Tse,A Pesar De Las Heridas
As de Trêfle,Intro/Le quartier
Big Muff,Pornstar
Hatebreed (int License),Straight To Your face (Album Version)
Mr. De.,Sweetest Pain
Depth Affect,Modellbilder
Magik Johnson,Follow The Groove (Magik J Out West Mix)
Frankie Valli & The Four Seasons,Working My Way Back To You  (2007 Remastered LP Version)
Avril Lavigne,Knockin' On Heaven's Door
The Hollies,Hey What's Wrong With Me (1997 Digital Remaster)
Heart,Mistral Wind
Buckcherry,Porno Star
The Jeff Healey Band,Angel
Devotos,Se explodir não é pecado
Mikael Stavöstrand,A Little Light
Tahiti 80,Don't Look Below
Säkert!,Du kanske var på Holmön
Mark Chesnutt,A Hard Secret to Keep
Wally Lopez,Don't You (Club Mix)
Patato Valdes_ G. Hidalgo_ Luis Frank_ Pío Leiva_ Chiki,El manisero
Elvis Presley,Spanish Eyes
Fascination,High Energy
Edith Márquez,Tengo todo excepto a tí
The Faint,Battlehymn For Children
Greg Cerrone,Pilling Me
Jack Greene,Until My Dreams Come True
The Dead 60s,Invader
Elliott Sharp`s Terraplane,Long Way To Go
Daddy Screw,Big Things
Greatdayforup,Sinner Takes All
Omid,Gobi Desert
Michael Brecker,Anagram
A Few Good Men,Sexy Day
Talib Kweli,Hostile Gospel Pt. 2 [Deliver Me] [featuring Sizzla] (Album Version)
Ace Cannon,Love The World Away
Lester Flatt & Earl Scruggs,Who Knows Right From Wrong
Ricky Van Shelton,Rockin' Years
TCP,Road to 2012...
Malcolm Middleton,Beep Beep_ I Love You
Dawnseekers,Shaman's Wake Up
Mase featuring P. Diddy,Breathe_ Stretch_ Shake (Album Version)
Empty Trash,Last Man In The Bar
Melissa Manchester,Time
The Panics,Don't Fight It
P.G. Six,Well Of Memory - Part II
Orangez,I Gotta Feeling
Last Tuesday,Treadmill
The Gentrys,Keep On Dancing
London Elektricity,Just One Second (Apex Remix)
Kristine W,Feel What You Want (Deep Swing Vocal Mix)
Francisco Mário,Panakararé (Para os indios Pankararés)
Will.I.Am,Go!
Jimmy Jones,Sugar Daddy
Raze,Oh How I Need You (The Plan Album Version)
Mood II Swing,Can't Get Away From You (Rulers of the Deep Dub)
Feral Children,Universe Design
Icone Pres. Blue Manta,I Feel Lost
The Generationals,Bobby Beale
JOSEF LOCKE & ORCHESTRA,Santa Lucia (1992 Digital Remaster)
Vicente Fernandez,Nuestra Desgracia
Karl Kage,King Obama
Modern English,Fin
Detroit Grand Pubahs,Riot 66
The Rivieras,El Dorado
The Vindictives,Money Changes Everything
X-Wife,Over
The Crystal Method,Drown In The Now
Willie Nelson and Leon Russell,Always
Resin Dogs,Set It Off (Superdense'Child Remix)
Filteria,Ultimator!
Frank Zander,Diana
Quadro Nuevo,Still_ still_ still
Ebony Ark,Endless Road
Le Loup,Sherpa
Black Science Orchestra,Save Us [MotorCitySoul Remix]
The Original Broadway Cast,The Yodel Blues (from Texas_ Li'l Darlin')
Zeena Parkins,This Velvet Annihilation
Trance Control,Lobotimized Unicorn
Bashy,Take Ya Money
Schloss Tegal,Collapse Of The Wave Function
Books On Tape,Tom Delay
Daylight Dies,A Subtle Violence
Slipknot,People = Shit (Album Version)
Chenoa,Why You Doing Like That
Shinehead,Never Make A Promise
Klaus Weiss Trio,Dona Dona
La Descente Du Coude,Époque scie
Five,Human
Reginald Dixon,Russian Rag
Jeffrey Scot Wills,Jingle Bells
Matt Belsante,Haven't Got Much
nmperign,Variation V
Rachid Taha / Khaled / Faudel,Menfi
Allan Sherman,Good Advice (LP Version)
Trout Fishing in America,Chicken Joe
Tiamat,Spine
Tasmin Archer,In Your Garden
Hacride,Act of god (Album Version)
Patrick Jumpen,Holiday
Basswood Dollies,Out Or In
John Amen,Overload
Dany Dan_ Smoker_ Al Peco_ S-Pi_ Six Coups MC_ Sultan_ Gued1_ Seven_ Abdel,Rap impact
Phil Ochs,Talking Pay T.V.
Capdown,Act Your Rage
Blind Willie Johnson,Let Your Light Shine On Me
The Zutons,Freak
Marnie Stern,Vault
Legacy Five,Roll Away
Peace Love & Pitbulls,Endless Masturbation
Archie Shepp,Mamarose - Original
Figures On A Beach,The Big Top (Album Version)
Frederic Galliano,Nioul Nop
Alfredo Kraus,La Tabernera Del Puerto
MGMT,I Found A Whistle
311,Solar Flare
Helena Paparizou,Meres Eones
Jeff Healey,Come Together
Curtis Mayfield,Just Ease My Mind
1200 Mics,DNA
Odd Logic,The Governor's Death
Immolation,Sinful Nature
Lamb,Scratch Bass
The Blockheads,George The Human Pigeon
Beach House,Astronaut
Jimmie Davis,I Hung My Head and Cried
Edmundo Ros & His Orchestra,Rio Brasil - Samba
Motek,Urban
Calima,Lao A Lao (Album Version)
Robedoor,Spiral Veil
Frog Eyes,A Library Used To Be (Black Hole And Its Concentrated Edges)
Mark Schultz,When You Come Home (Live Version)
The Bonzo Dog Band,Alley Oop (Girls Version) (2007 Digital Remaster)
Jerry Goldsmith,Swing Across
Patti LaBelle,You Are My Friend
Thievery Corporation,La Femme Parallel
Symphorce,Death Has Come
Matthew Sweet,Evergreen
E-Town Concrete,The Phoenix
Estopa,Demonios
Burnt By The Sun,The Wolves Are Running
Connemara Stone Company,Bonnie Shipe the Diamond
Snoop Dogg ft. Ice T,Snoop" Dogg 'n The Wax
Revolver,Dentro De Ti (Valencia)
Margarida Pinto,Na Vespera De Não Partir Nunca.......
Zanzibar,Szerelemrol szó sem volt
Lester Young,Lester Leaps In
Willie Clayton,Love Is So Good When You're Stealing It (Soul and R&B)
Bizzy B,Exceeding The Speed Of Sound
Kiprich,Walk Up
OTT,This Game Is Over
Hank Jones,What Did I Do To Be So Black And Blue
Continental Drifters,Where Does Time Go?
Ry Cooder,Available Space
Willy Mason,Save Myself
Los Turntablos,Chunnt Und Gaat-Drüklang
Jags,Evening Standards
Ikara Colt,Pop Group
Buster Benton,Hard Luck Blues
Denim,Rock My Boat
Los Dareyes De La Sierra,Jesús Leyva
4hero,Three Thousand And Five
Linda Bengtzing,Vad hände sen
First Aid Kit,Tangerine
Dj Cam,Essence Part Two
Madball,Justify
Cledus T. Judd feat. Daryle Singletary,Merger on Music Row
Teena Marie,Square Biz
Andreas Johnson,My Love (Song for a Butterfly)
Speech Defect,Get Biz
Johnny Carver,Tie A Yellow Ribbon Round The Old Oak Tree
The Morning Light,This Way
Shebang,Crash
Capleton,Mighty
Le Vibrazioni,Lisergica
Logh,The Black Box
Marsheaux,Heaven
Sway feat. Akon,Silver & Gold
Rick Wakeman,Morning Has Broken
Little John,She No Ready
PreEmptive Strike 0.1,From Another Dimension (feat. Suicidal Romance)
Foxy Brown,Intro-Broken Silence
Tomas Klus,Panenka
María de Lourdes,Mi derrota
Assasin,How We Roll
Choeurs Et Orchestre Radio-Lyrique De Paris_ Andre Pernet_ Lucien Lovano_ Solange Michel,Don Quichotte: Annonce le grand Don Quichotte
ESG,Get Funky
David Ruffin,I've Got To Find Myself A Brand New Baby
Robert Palmer,Ain't That Just Like A Woman
Ini Kamoze,Settle With Me
Gene Ammons,Water Jug
Anthony B.,God Above Everything
Kleerup,Thank You For Nothing
Teräsbetoni,Metallisydän radio edit
Silvain Vanot,La Vie Qu'on Aime
Dixie Chicks,Mississippi
Soulgate's Dawn,Burning On All Sides
The Pigeon Detectives,Get Up_ Get Out
Winston Reedy,Love Thing
Jaguares,No Me Culpes
Les Brown,It's hard - ask for help
Miami Sound Machine,Dr. Beat (Long Version)
Sonny Terry,Screamin And Cryin' Blues
Smurf,1st Come 1st Serve
Cult 45,True To Life (My Digital Enemy Dub Mix)
YACHT,I Saw You
Jim Starck,Dirty Harry
Eternal,Let's Stay Together
The Untouchables,Free Yourself
Bobby Short,You Make Me Feel So Young
Warner Williams and Jay Summerour,Black Cat Bone Blues
Severed Savior,Fuck the Humans
Robert Pete Williams,Jessie James
Fight,Kill It
Tru,TRU 2 Da Game (Explicit)
Seed,Seed Sound
Supersister,Wow
Filarmónica Gil,A Minha América
Chapter XJ,Resurrection
Ozric Tentacles,Ayurvedic
Lemonade,Bliss Out
The Four Aces,I Started a Joke
A Challenge Of Honour,Torpedos
Aura,Song For Sophie
Matheux,Princess Tek
Brian Bromberg,Blue Bossa
Cassius,Tale Of The Leper
Orlando Pops Orchestra and Andrew Lane,Main Theme from Love Story: Where do I Begin?
Rima,Real Love (feat. Colonel Red)
The Out Crowd,Little Elf
Beenie Man,Nuttin Dat
Shiny Beast,Glaxo
FSTZ,The Escape Plan
Alex Fong,zui hao de shi guang
T. Graham Brown,Put a Little Love in Your Heart
Los Invasores De Nuevo Leon,Decias Que No
Lopazz,Uzbekish Sand
The London Pops Orchestra,True Love
The Presence,Bulletproof
polarkreis 18,Look
Baba Zula & Mad Professor,Su daglari sardi feryadim
Norther,Down
Juice Newton,The Sweetest Thing (I've Ever Known) (Album Version)
Judas Priest,Electric eye (live)
Blank & Jones,Sound Of Machines
From Ashes Rise,Silence (Live)
Taï Phong,The Gulf Of Trowledde
The Strokes,You Only Live Once
Saybia,The One For You
April Stevens,Teach Me Tiger (1996 Digital Remaster)
Easy Star All-Stars,Great Dub In The Sky
The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,Mr. Jo Jones
The Warren Brothers,Guilty
Liquid Soul,Footprints
Lil' Love,Little Love
Pólo Norte,Entregue + Noite
Iggy & The Stooges,Head On
Barbara Mason,Down Too Long
Slaï,Reviens
Alexander Hacke,Love Me Love My Dog
Roosevelt Sykes,Until The Clowns Come Home
Anna Järvinen,Helsinki
Evolution,I Don't Wnat To Walk Without You
Cobra,Men Hate Me
Bernadette Peters,We're In the Money/Pennies From Heaven (Medley) (2005 Digital Remaster)
Christos Dantis,Den Pethenoun I Agapes (braf)
The Statler Brothers,An Old Fashioned Christmas
Saliva,I Walk Alone
Louise Goffin,Light In Your Eyes
Arthur "Big Boy" Crudup,Cool Disposition
Jerry Reed,I Shoulda Stayed Home
Eazy-E,Neighborhood Sniper (Clean Version) (2002 Digital Remaster)
The Tragically Hip,Love Is A First
Safi Connection,Music
TNT,You'll Be There
Jr. Walker & The All Stars,Cleo's Mood
Roger Daltrey,Giving It All Away
Little Walter,You're So Fine
Henri René and His Orchestra,I Cried For You
Vinylshakerz,LUV in JAPAN
Interference,Disambiguator (Bubblyfish & glomag remix)
The Milkman,Shades
The Toxic Avenger,Bad Girls Need Love Too (Léonard de Léonard Remix)
Fela Kuti,Teacher Don't Teach Me Nonsense (Parts 1 & 2)
Taj Mahal & The Hula Blues Band,Stagger Lee
Diana Ross,Stone Liberty
Carlene Davis,I Shall Not Be Moved
Rafael Amor,Remendando A Suspiros
Natalia,Soul Divided
Vanessa Williams,Let's Love (Album Version)
The Spookshow,Send me an angel
Yung Berg feat. Rockstar,All For You (feat. Rockstar)
The Lord Henry,You Do It Well
Drag The River,Modern Drunkard
Matt Borghi,Sincerely_ April
Dying Fetus,For Us or Against Us
PSK-13,Sherman (feat. Kid2Face)
Fatboy Slim,Right Here Right Now
Pantha Du Prince,Florac
An Albatross,A Convivial Feast of the Peace Beast
Francisco Mário,Domingo
Antonio Orozco / Tote King,Hoy Todo Va Al Reves
Björn Rosenström,Hultsfredsfestivalen
Boyz II Men / Shae Jones,Thank You In Advance
David Jalbert,Etude Fantasy: Etude No. 4 - Ornaments
Tankard,Thunder And Lightning
Jamie Finlay,Don't Sleep
Snax,Get in Trouble
Hercules And Love Affair,I'm Telling You
The Dishrags,Bullshit
Sangre Azul,Tras De Ti
Outlandish,Always Remember
Irigy Honaljmirigy,Nup
Saafi Brothers,Fusedub
Lulu,Sweet Memories (2007 Remastered LP Version)
Atmosphere,Trying To Find A Balance
In Extremo,Ave Maria
Larry Vuckovich,Why Not (reminiscent of 1952 Count Basie recording featuring Paul Quinichette on tenor)
The Felice Brothers,All When We Were Young
Sweet Honey In The Rock,Redemption Song (Album Version)
The Union Underground,Trip With Jesus
Treizième Étage,Faut Pas Lâcher
Ra,Pimeys
Mystic Rhythms,Scent From Heaven
Rodolphe Burger,Unlimited marriage ii
Psychedelic Horseshit,Crystals
Sue Foley,Same Thing
Broken Time Orchestra,Küsi Eneselt
Severin Blazer,24 Caprices_ Op. 1: Caprice No. 12 in A-Flat Major - Allegro
Vorny,Dance
Pugh Rogefeldt,Stockholm
Youssoupha,La Même Adresse
Scorpions,Backstage Queen
Carolyn Dawn Johnson,Just Another Girl
Amon Düül 2,Holy West
Tuffest,Move Up Time
A Tribe Called Quest,Baby Phife's Return
The Associates,Mona Property Girl
Aled Jones,Ave Maria For Soprano & Orchestra
R. Kelly,Ignition
The Motels,Celia
Bruce Springsteen & The E Street Band,Candy's Room
Kim Wilde,Love Blonde (12'' Version)
Cleve Francis,After You
Mikey Dread,Stem Cells
Apache Indian,Independent Girl (Vichola Mix)
13th Chime,13th Victim
Lee Ryan,Army Of Lovers
Sebkha-Chott,Tapisserie LIV - Her Majesty Glory Hole - Explicit Content With Talc
The Production Club,Good Things Just Happen
Lee Morgan,I'm A Fool To Want You - Alternate
UMOJA,Umoja
The Routers,Wee Wee Hours (2006 Remastered Album Version)
Slymongoose,Tip Of The Tongue State
Holy Moses,Never Give Up (Demo Satan's Angel 1981)
My Dying Bride,Turn Loose The Swans
ARRESTED DEVELOPMENT,Heroes of the Harvest
The Bomboras,Earthquake
Boys Night Out,Anatomy of the Journey
Brother Beyond,Now I'm Alone With You
Bertine Zetlitz,Rollerskating
Brian Sanhaji,v 1.0.0 BETA
Mr. Anonymous,Swing / Acoustic
Adam Ant,Goody Two Shoes
Big Star,Give Me Another Chance [Alternate Mix]
Brian Jonestown Massacre,Telegram
Nick Drake,Northern Sky
Bitter:Sweet,Dirty Laundry (Original)
Ann Wilson,Immigrant Song
Chuck Berry,Nadine (Is It You?) (Live)
Jean-Claude Pascal,Va Dire À L'amour
The Mormon Tabernacle Choir,Sons of California (University of California at Berkeley)
Morthem Vlade Art,Counter Canter
Threshold,Pilot In The Sky Of Dreams
Brian Bromberg,Goodbye - For My Father
Siiri Sisask/Peeter Vähi,Lovers
Nick Moss_ The Flip Tops,You've Got the Devil Inside
Before Dark,Back Around
U.S. Bombs,Tora Tora Tora
Vangelis,Chariots Of Fire
Paul Winter,Down In Belgorod
Project Jenny_ Project Jan,Talking
Morcheeba,Frogmarched To Freedom
El Coyote,Vas A Pagar
Frank Morgan & T. Bone Wolk,Keep On Lovin' You
Vaggelis Perpiniadis,Den Ime Vrahos Oute Vouno
Avis Vox,Introspection Attempts
TM Juke,Come Away
Half Japanese,Now I Know
Johnny Nash,Darn That Dream
J.D. NATASHA,Tatuaje
Brad Paisley,Kung Pao
Bert Kaempfert And His Orchestra,A Song For Satch
Quinn Lemley,Thanks A Lot_ But No Thanks
Propaganda,Vicious (Reprise)
Helloween,Ride The Sky
Ja-Man All Stars,East Man Skank
The Hush Sound,Hospital Bed Crawl (Album Version)
Michael Forzza,Electrosphere
Anne Grete Preus,Når Himmelen Faller Ned
Stefano Battaglia,Pasolini
Eric Metronome,Go Bye
Urban Dance Squad,On The Downlow
Patti Smith,Free Money
DeSoto Rust,Far Side of Town
The Detroit Cobras,Hittin' On Nothing
Mestre Marçal,Heróis Da Liberdade
The Paramounts,Do I (1998 Digital Remaster)
Sargasso Trio,Man Walks
Amplifier,Strange seas of thought
Martine McCutcheon,Tremble
Dabrye,Hyped-up Plus Tax
George Williams,After The Love
Chantal Chamandy,More
EnMass,Chunky Monkey
David Sandström Overdrive,Göran William Frii
Bobby Marchan,Meet Me In Church
The Matthew Herbert Big Band,The Three W's
Kraan,Holiday Am Marterhorn Including Gipfelsturm (Live)
La Rue Kétanou,J'Ai Tout Démoli
AFI,Endlessly_ She Said
Ricky Valance,Back into country
Max Mutzke,Spür Dein Licht
Guts,Intro
Andy Russell,Besame Mucho (1995 Digital Remaster)
Kafani,Cutie Pie (Street)
André Verchuren,Les Fiancés D'Auvergne
The Orchids,I Can't Refuse
Pretty Maids,39
David Palmer,Ciao_ Amore_ ciao
Cell,Second Shape part II
Kathy Brown_ White Knights,Sound of the City (Pagano Radio Edit)
Sanseverino,Les Embouteillages
Malachi,The Gift
Omar Pene_ Super Diamono,Fan
Paul Mauriat And His Orchestra,A Summer Place
Angelo Debarre,Angelo'S Caprice
Switchblade Symphony,Anmorata
Palo Alto,Depression Age
The Murmaids,Shoo_ Shoo Baby
New Barbarians,Am I Grooving You?
Canibus,100 Bars
Simon Cooper featuring soprano Manuela Van Geenhoven,Salama
Show Of Hands,Crow On The Cradle
Kris Drever,Allegory
Mark Stewart,Bastards
Sole,Every Single One of Us
Groove Armada,Cards to Your Heart
Coverdale Page,Easy Does It
Chris Connor,From This Moment On
Geraldo Pino & The Heartbeats,Heavy Heavy Heavy
Glen Campbell,The Lone Arranger
Bee Gees,Sweet Song Of Summer (Album Version)
Shelley Fabares,I'm Growing Up (LP Version)
Lelio Luttazzi,Storie del bosco viennese
Caviar,Hey Let Go
Moses McClean,Love Thing (feat. b Burn)
Sidestepper,Chimical (Original Mix)
Nick Lachey,Shades Of Blue
Osker,Out Of Touch
The Juliana Theory,Breathing By Wires (Music From Another Room Album Version)
Jacob Young,Lamenting
Royals,High
Rockit,It's Almost Time For Ben's Song
Hell Is For Heroes,I Can Climb Mountains
Ocean,SINUSOIDA
Fatboy Slim,Star 69
The Fourmost,The In Crowd (1997 Digital Remaster)
Symphony in Peril,Perelandra
Boys Like Girls,Dance Hall Drug
Doug MacLeod,Bring It On Home
Bob Crosby,Who s Sorry Now
Joachim Witt,Warten Auf Das Grosse Glück
Sugafree featuring Reece,A.O.B.
Michael Cretu,Amazonen
Tall Dwarfs,Smacked
Bob Baldwin,Razafindrahety
OLIVER,Ei vanhene koskaan
Now It's Overhead,Meaning To Say
Hasmik Harutyunyan with the Shoghaken Ensemble,Anush Knik
Train,Something More
Benjamin Zephaniah/Eliza Carthy/Trans-Global Underground/Simon Emmerson,Tam Lyn Retold
Tonic,Queen
Bright Eyes,Soul Singer In A Session Band
Bon Jovi,Diamond Ring
Kim Wilde,Chaos At The Airport
Lavay Smith & Her Red Hot Skillet Lickers,Downhearted Blues
Lucero,La Única Que Te Entiende
Ibio,A lo alto y a lo bajo
Sunk Loto,Erased
Björn Skifs,Silly Milly
Marshall Crenshaw,West of Bald Knob
Great Lake Swimmers,Bodies and Minds
Playboy Tre,Life Gets Harder
Frank Martiniq,Gigoletta (Mitte Karaoke Remix)
Steve Vai,Liberty
Son House,John The Revelator
Atman,Bliss (Taylor M. Mix)
Stephan Remmler,Frauen sind böse (original Albumversion)
Head Like a Kite,We're Always on the Wrong Side of Sunrise (feat. Tilson)
Don Drummond,Thorough Fare
Andrew Gold,Go Back Home Again (LP Version)
Love Jones,Here's To The Losers
Black Magic,Shorty Go On
Paris Hilton,Nothing In This World [Kaskade Radio Remix]
Papa Charlie Jackson,Tain't What You Do But How You Do It
The Enemy,Images (Live)
Simon & Garfunkel,Feuilles-O
Yukihiro Fukutomi,Cat And Mouse featuring Ernesto
L'Aura,Le Vent
Patsy Cline,If I Could See The World
I-F,Theme From Pack
Galerie Schallschutz,The Human Factor
Georg Gabler,Cantata 147
Sportsday Megaphone,One Small Page
Marc Lavoine;Catherine Ringer,Qu'Est-Ce Que T'Es Belle
Neil Norman And His Cosmic Orchestra,Reanimator
John Martyn,One World
Zakopower,Zol milosci
Karol XVII & MB Valence,Mushroom Soup
Fat Boys,Breakdown
Jacob Miller,Meet Me Tonight
Monica Naranjo,De Que Me Sirve Ya
Seguridad Social,Eternamente fugaz
The Humpers,Peggy Sue Got Buried
Foghat,Slow Ride
Federation,Bang Bang [feat. Tony Hard Times_ Tick_ Battle Loc_ Eldarado Red_ Mank Manson_ Undaflow and RickRock] (Album Version)
